iter	Passed	Remaining
0	261	522098
1	583	582670
2	884	588614
3	1140	569294
4	1419	566202
5	1685	560195
6	1956	557029
7	2217	552219
8	2448	541609
9	2680	533506
10	2933	530374
11	3146	521326
12	3371	515305
13	3589	509135
14	3810	504208
15	4044	501540
16	4292	500748
17	4530	498909
18	4758	496089
19	4986	493624
20	5205	490549
21	5414	486776
22	5645	485268
23	5889	484888
24	6095	481577
25	6302	478500
26	6516	476165
27	6754	475695
28	6971	473843
29	7197	472651
30	7407	470513
31	7620	468661
32	7825	466436
33	8040	464953
34	8270	464315
35	8480	462675
36	8670	459979
37	8883	458671
38	9105	457823
39	9307	456090
40	9510	454421
41	9754	454740
42	9963	453432
43	10161	451737
44	10372	450642
45	10563	448708
46	10749	446668
47	10934	444651
48	11143	443703
49	11352	442750
50	11539	441008
51	11730	439459
52	11928	438219
53	12119	436738
54	12333	436149
55	12539	435306
56	12745	434471
57	12930	432945
58	13111	431351
59	13291	429766
60	13479	428460
61	13669	427268
62	13864	426277
63	14055	425169
64	14239	423909
65	14430	422861
66	14627	422005
67	14824	421181
68	15025	420506
69	15216	419529
70	15412	418744
71	15600	417759
72	15820	417617
73	16035	417343
74	16239	416809
75	16423	415783
76	16614	414921
77	16806	414121
78	16993	413226
79	17189	412536
80	17376	411661
81	17560	410743
82	17746	409874
83	17940	409212
84	18135	408587
85	18320	407742
86	18503	406875
87	18691	406105
88	18879	405384
89	19074	404793
90	19268	404211
91	19480	404002
92	19685	403663
93	19873	402971
94	20069	402438
95	20256	401748
96	20452	401252
97	20657	400927
98	20854	400452
99	21055	400052
100	21235	399272
101	21430	398779
102	21616	398120
103	21814	397686
104	22029	397581
105	22228	397168
106	22415	396561
107	22605	396011
108	22809	395711
109	23011	395373
110	23208	394957
111	23389	394284
112	23604	394174
113	23798	393718
114	23985	393152
115	24181	392737
116	24383	392434
117	24572	391907
118	24758	391344
119	24949	390875
120	25141	390414
121	25329	389911
122	25518	389421
123	25709	388959
124	25934	389014
125	26148	388908
